Experiment;Sample date;Time (years);ambient CO2;increased CO2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ArizonaFACE - wheat - high N;1995;0.00;1344;1228;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ArizonaFACE - wheat - high N;1996;0.50;1363;1305;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ArizonaFACE - wheat - high N;1996;1.00;1254;1264;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ArizonaFACE - wheat - high N;1997;1.50;1258;1400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biosphere 2;1999;0.00;5950;6362;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biosphere 3;2000;1.00;5254;4735;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biosphere 4;2001;2.00;6084;4785;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biosphere 5;2002;3.00;5470;4064;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biosphere 6;2003;4.00;5335;4220;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
China FACE - low N;2008;3.66;1937;2192;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
China FACE - low N;2008;4.00;1937;2123;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
China FACE - high N;2008;3.66;1926;2135;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
China FACE - high N;2008;4.00;1937;2105;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
China OTC - low N;2005;0.33;1103;1168;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
China OTC - low N;2005;0.67;1036;1097;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
China OTC - low N;2006;1.00;1936;2385;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
China OTC - low N;2006;1.33;2319;2218;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
China OTC - low N;2006;1.66;2060;2051;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
China OTC - low N;2007;2.00;2431;2301;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
China OTC - low N;2007;2.33;2263;2361;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
China OTC - low N;2007;2.66;2116;2158;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
China OTC - low N;2008;3.00;3625;3315;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
China OTC - low N;2008;3.33;3253;3279;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
China OTC - low N;2008;3.66;3287;3410;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
China OTC - high N;2005;0.33;1201;1198;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
China OTC - high N;2005;0.67;922;1409;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
China OTC - high N;2006;1.00;1930;2373;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
China OTC - high N;2006;1.33;1951;2514;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
